"word";"in documents";"total"
"ad_alarm";1.0;1.0
"ad_alarm_khan";1.0;1.0
"ad_arbitr";1.0;1.0
"ad_arbitr_violat";1.0;1.0
"ad_arroyo";1.0;1.0
"ad_arroyo_victim";1.0;1.0
"ad_case";1.0;1.0
"ad_case_set";1.0;1.0
"ad_chines";1.0;1.0
"ad_chines_monk";1.0;1.0
"ad_countri";3.0;3.0
"ad_countri_move";1.0;1.0
"ad_countri_reach";1.0;1.0
"ad_countri_send";1.0;1.0
"ad_dutert";2.0;3.0
"ad_dutert_determin";1.0;1.0
"ad_dutert_said";1.0;1.0
"ad_dutert_tri";1.0;1.0
"ad_encomienda";1.0;1.0
"ad_encomienda_further";1.0;1.0
"ad_expert";1.0;1.0
"ad_expert_losurdo";1.0;1.0
"ad_furthermor";1.0;1.0
"ad_furthermor_china";1.0;1.0
"ad_hoc";4.0;5.0
"ad_hoc_arbitr";2.0;3.0
"ad_hoc_tribun";2.0;2.0
"ad_i";1.0;1.0
"ad_i_rejoic";1.0;1.0
"ad_intern";2.0;2.0
"ad_intern_communiti";1.0;1.0
"ad_intern_tribun";1.0;1.0
"ad_major";1.0;1.0
"ad_major_avenu";1.0;1.0
"ad_manila";1.0;1.0
"ad_manila_call";1.0;1.0
"ad_necessari";1.0;1.0
"ad_necessari_time";1.0;1.0
"ad_oh";1.0;1.0
"ad_oh_bilater";1.0;1.0
"ad_presid";1.0;1.0
"ad_presid_said";1.0;1.0
"ad_readi";1.0;1.0
"ad_readi_releas";1.0;1.0
"ad_said";1.0;1.0
"ad_said_nur";1.0;1.0
"ad_side";1.0;1.0
"ad_side_agre";1.0;1.0
"ad_south";2.0;2.0
"ad_south_china";2.0;2.0
"ad_start";1.0;1.0
"ad_start_problem";1.0;1.0
"ad_survey";1.0;1.0
"ad_survey_show";1.0;1.0
"ad_trust";1.0;1.0
"ad_trust_confid";1.0;1.0
"adb_approv";1.0;1.0
"adb_approv_loan";1.0;1.0
"adb_asian";1.0;1.0
"adb_asian_develop";1.0;1.0
"adb_collabor";1.0;1.0
"adb_collabor_mindanao";1.0;1.0
"adb_look";1.0;1.0
"adb_look_opportun";1.0;1.0
"adb_prepar";1.0;1.0
"adb_prepar_million";1.0;1.0
"adb_readi";1.0;1.0
"adb_readi_make";1.0;1.0
"adb_work";1.0;1.0
"adb_work_close";1.0;1.0
"add_imbal";1.0;1.0
"add_imbal_situat";1.0;1.0
"addit_china";1.0;2.0
"addit_china_exclud";1.0;1.0
"addit_china_made";1.0;1.0
"addit_increas";1.0;1.0
"addit_increas_assist";1.0;1.0
"addit_loan";1.0;1.0
"addit_loan_rest";1.0;1.0
"addit_maritim";1.0;1.0
"addit_maritim_expert";1.0;1.0
"address_crimin";1.0;1.0
"address_crimin_includ";1.0;1.0
"address_philippin";1.0;1.0
"address_philippin_nation";1.0;1.0
"adher_posit";3.0;3.0
"adher_posit_settl";3.0;3.0
"adher_settlement";1.0;1.0
"adher_settlement_disput";1.0;1.0
"adher_unclo";1.0;1.0
"adher_unclo_greater";1.0;1.0
"adiz_chines";2.0;2.0
"adiz_chines_invent";2.0;2.0
"adiz_south";4.0;5.0
"adiz_south_china";4.0;5.0
"administr_ad";2.0;2.0
"administr_ad_countri";1.0;1.0
"administr_ad_i";1.0;1.0
"administr_brought";1.0;1.0
"administr_brought_hope";1.0;1.0
"administr_former";5.0;6.0
"administr_former_philippin";3.0;4.0
"administr_former_presid";2.0;2.0
"administr_grant";1.0;1.0
"administr_grant_amnesti";1.0;1.0
"administr_help";1.0;1.0
"administr_help_institut";1.0;1.0
"administr_honor";1.0;1.0
"administr_honor_intern";1.0;1.0
"administr_increas";1.0;1.0
"administr_increas_competit";1.0;1.0
"administr_label";2.0;2.0
"administr_label_group";2.0;2.0
"administr_make";1.0;1.0
"administr_make_step";1.0;1.0
"administr_mark";1.0;1.0
"administr_mark_shift";1.0;1.0
"administr_note";1.0;1.0
"administr_note_administr";1.0;1.0
"administr_order";1.0;1.0
"administr_order_investig";1.0;1.0
"administr_presid";1.0;1.0
"administr_presid_rodrigo";1.0;1.0
"administr_promot";1.0;1.0
"administr_promot_rural";1.0;1.0
"administr_read";1.0;1.0
"administr_read_bank";1.0;1.0
"administr_recogn";1.0;1.0
"administr_recogn_suprem";1.0;1.0
"administr_repres";1.0;1.0
"administr_repres_june";1.0;1.0
"administr_return";1.0;1.0
"administr_return_solv";1.0;1.0
"administr_s";1.0;1.0
"administr_s_effort";1.0;1.0
"administr_said";2.0;2.0
"administr_said_adb";1.0;1.0
"administr_said_care";1.0;1.0
"administr_start";1.0;1.0
"administr_start_bilater";1.0;1.0
"administr_talk";1.0;1.0
"administr_talk_communist";1.0;1.0
"administr_u";1.0;1.0
"administr_u_s";1.0;1.0
"administr_will";1.0;1.0
"administr_will_talk";1.0;1.0
"administr_work";1.0;1.0
"administr_work_doubl";1.0;1.0
"admit_accus";1.0;1.0
"admit_accus_hurl";1.0;1.0
"admit_forc";1.0;1.0
"admit_forc_iraq";1.0;1.0
"admit_jurisdict";1.0;1.0
"admit_jurisdict_intern";1.0;1.0
"admit_offer";1.0;1.0
"admit_offer_pardon";1.0;1.0
"adopt_tba";1.0;1.0
"adopt_tba_separ";1.0;1.0
"advanc_effect";1.0;1.0
"advanc_effect_caus";1.0;1.0
"advantag_propos";1.0;1.0
"advantag_propos_win";1.0;1.0
"advis_jesus";1.0;1.0
"advis_jesus_dureza";1.0;1.0
"advis_peac";1.0;1.0
"advis_peac_process";1.0;1.0
"advis_presid";1.0;1.0
"advis_presid_rodrigo";1.0;1.0
"advoc_disput";1.0;1.0
"advoc_disput_resolv";1.0;1.0
"affair_center";2.0;2.0
"affair_center_philippin";2.0;2.0
"affair_depart";2.0;2.0
"affair_depart_made";1.0;1.0
"affair_depart_philippin";1.0;1.0
"affair_peopl";2.0;2.0
"affair_peopl_s";2.0;2.0
"affair_said";1.0;1.0
"affair_said_statement";1.0;1.0
"affair_set";1.0;1.0
"affair_set_launch";1.0;1.0
"affair_statement";1.0;1.0
"affair_statement_issu";1.0;1.0
"affair_undersecretari";1.0;1.0
"affair_undersecretari_said";1.0;1.0
"affect_healthi";1.0;1.0
"affect_healthi_develop";1.0;1.0
"affirm_previous";1.0;1.0
"affirm_previous_sign";1.0;1.0
"affirm_respect";1.0;1.0
"affirm_respect_decis";1.0;1.0
"affront_restrain";1.0;1.0
"affront_restrain_say";1.0;1.0
"afp_chief";1.0;1.0
"afp_chief_gen";1.0;1.0
"afraid_evil";1.0;1.0
"afraid_evil_forc";1.0;1.0
"african_comment";1.0;1.0
"african_comment_wrote";1.0;1.0
"african_newspap";1.0;1.0
"african_newspap_disregard";1.0;1.0
"age_countri";1.0;1.0
"age_countri_peopl";1.0;1.0
"age_industri";1.0;1.0
"age_industri_go";1.0;1.0
"agenc_custom";1.0;1.0
"agenc_custom_i";1.0;1.0
"agenc_depart";1.0;1.0
"agenc_depart_justic";1.0;1.0
"agenc_senior";1.0;1.0
"agenc_senior_govern";1.0;1.0
"agenc_stakehold";1.0;1.0
"agenc_stakehold_half";1.0;1.0
"agenda_confus";1.0;1.0
"agenda_confus_maritim";1.0;1.0
"agenda_meet";1.0;1.0
"agenda_meet_dutert";1.0;1.0
"agenda_repeat";1.0;1.0
"agenda_repeat_muddi";1.0;1.0
"aggress_critic";1.0;1.0
"aggress_critic_china";1.0;1.0
"aggress_world";1.0;1.0
"aggress_world_war";1.0;1.0
"aggressor_prepar";1.0;1.0
"aggressor_prepar_oper";1.0;1.0
"agre_chines";1.0;1.0
"agre_chines_posit";1.0;1.0
"agre_mutual";1.0;1.0
"agre_mutual_benefici";1.0;1.0
"agre_set";1.0;1.0
"agre_set_asid";1.0;1.0
"agre_settl";1.0;1.0
"agre_settl_region";1.0;1.0
"agre_settlement";1.0;1.0
"agre_settlement_philippin";1.0;1.0
"agre_thing";1.0;1.0
"agre_thing_mutual";1.0;1.0
"agre_vald";1.0;1.0
"agre_vald_govern";1.0;1.0
"agreement_achiev";1.0;1.0
"agreement_achiev_rush";1.0;1.0
"agreement_appeal";1.0;1.0
"agreement_appeal_parti";1.0;1.0
"agreement_bind";1.0;1.0
"agreement_bind_countri";1.0;1.0
"agreement_china";3.0;3.0
"agreement_china_foreign";1.0;1.0
"agreement_china_sign";1.0;1.0
"agreement_china_went";1.0;1.0
"agreement_countri";2.0;2.0
"agreement_countri_reach";2.0;2.0
"agreement_declar";1.0;1.0
"agreement_declar_ceasefir";1.0;1.0
"agreement_definit";1.0;1.0
"agreement_definit_set";1.0;1.0
"agreement_end";1.0;1.0
"agreement_end_year";1.0;1.0
"agreement_equal";1.0;1.0
"agreement_equal_benefici";1.0;1.0
"agreement_instead";1.0;1.0
"agreement_instead_standoff";1.0;1.0
"agreement_intern";1.0;1.0
"agreement_intern_law";1.0;1.0
"agreement_move";1.0;1.0
"agreement_move_complex";1.0;1.0
"agreement_provid";1.0;1.0
"agreement_provid_greenhous";1.0;1.0
"agreement_safeti";1.0;1.0
"agreement_safeti_immun";1.0;1.0
"agreement_send";1.0;1.0
"agreement_send_messag";1.0;1.0
"agreement_settl";1.0;1.0
"agreement_settl_south";1.0;1.0
"agreement_signatur";1.0;1.0
"agreement_signatur_els";1.0;1.0
"agreement_tell";1.0;1.0
"agreement_tell_maintain";1.0;1.0
"aguirr_ii";1.0;1.0
"aguirr_ii_confirm";1.0;1.0
"aguirr_said";1.0;1.0
"aguirr_said_presid";1.0;1.0
"ahead_arbitr";1.0;1.0
