"word";"in documents";"total"
"address_maritim_emerg";2.0;2.0
"address_territori";2.0;2.0
"address_territori_jurisdict";2.0;2.0
"address_threat";2.0;2.0
"address_threat_violent";2.0;2.0
"address_urgent";1.0;1.0
"address_urgent_problem";1.0;1.0
"adher_china";2.0;2.0
"adher_china_polici";2.0;2.0
"adher_sovereign";2.0;2.0
"adher_sovereign_equal";2.0;2.0
"adjust_diplomat";1.0;1.0
"adjust_diplomat_polici";1.0;1.0
"adjust_philippin";1.0;1.0
"adjust_philippin_foreign";1.0;1.0
"administr_carri";1.0;1.0
"administr_carri_bloodi";1.0;1.0
"administr_die";1.0;1.0
"administr_die_exil";1.0;1.0
"administr_former";1.0;1.0
"administr_former_presid";1.0;1.0
"administr_govern";1.0;1.0
"administr_govern_commit";1.0;1.0
"administr_ignor";1.0;1.0
"administr_ignor_plight";1.0;1.0
"administr_peopl";2.0;2.0
"administr_peopl_s";2.0;2.0
"administr_plan";1.0;1.0
"administr_plan_govern";1.0;1.0
"administr_presid";1.0;1.0
"administr_presid_rodrigo";1.0;1.0
"administr_qualiti";2.0;2.0
"administr_qualiti_supervis";2.0;2.0
"administr_respons";1.0;1.0
"administr_respons_financ";1.0;1.0
"administr_s";2.0;2.0
"administr_s_point";1.0;1.0
"administr_s_war";1.0;1.0
"administr_wish";1.0;1.0
"administr_wish_crown";1.0;1.0
"adopt_polici";1.0;1.0
"adopt_polici_diversifi";1.0;1.0
"adopt_vientian";2.0;2.0
"adopt_vientian_juli";2.0;2.0
"adopt_year";1.0;1.0
"adopt_year_term";1.0;1.0
"adulyadej_pass";1.0;1.0
"adulyadej_pass_year";1.0;1.0
"adulyadej_said";1.0;1.0
"adulyadej_said_presidenti";1.0;1.0
"advanc_perfecto";1.0;1.0
"advanc_perfecto_yasay";1.0;1.0
"advis_japan";1.0;1.0
"advis_japan_abandon";1.0;1.0
"affair_dfa";1.0;1.0
"affair_dfa_said";1.0;1.0
"affair_hj";1.0;1.0
"affair_hj_awang";1.0;1.0
"affair_prioriti";2.0;2.0
"affair_prioriti_reform";2.0;2.0
"affair_trade";1.0;1.0
"affair_trade_minist";1.0;1.0
"affect_peac";2.0;2.0
"affect_peac_stabil";2.0;2.0
"affect_shelv";1.0;1.0
"affect_shelv_disput";1.0;1.0
"affirm_commit";2.0;2.0
"affirm_commit_principl";2.0;2.0
"affirm_contenti";2.0;2.0
"affirm_contenti_issu";2.0;2.0
"affirm_continu";2.0;2.0
"affirm_continu_cooper";2.0;2.0
"affirm_import";2.0;2.0
"affirm_import_exist";2.0;2.0
"affirm_partnership";2.0;2.0
"affirm_partnership_common";2.0;2.0
"affirm_support";2.0;2.0
"affirm_support_asean";2.0;2.0
"afraid_rumpl";1.0;1.0
"afraid_rumpl_feather";1.0;1.0
"afraid_speak";1.0;1.0
"afraid_speak_grandmoth";1.0;1.0
"afternoon_end";1.0;1.0
"afternoon_end_day";1.0;1.0
"age_ad";1.0;1.0
"age_ad_plan";1.0;1.0
"agenc_memorandum";2.0;2.0
"agenc_memorandum_understand";2.0;2.0
"agenc_said";1.0;1.0
"agenc_said_dutert";1.0;1.0
"agenc_subject";2.0;2.0
"agenc_subject_mutual";2.0;2.0
"agenda_said";1.0;1.0
"agenda_said_statement";1.0;1.0
"agenda_sustain";1.0;1.0
"agenda_sustain_growth";1.0;1.0
"agn_callamard";1.0;2.0
"agn_callamard_await";1.0;1.0
"agn_callamard_probe";1.0;1.0
"agre_area";2.0;2.0
"agre_area_china";2.0;2.0
